SubCategory2,Segment,Offer_Type,Generosity Level,Scenario_Insight,Generosity_Numeric
Grocery,New,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,New,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,New,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,New,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,New,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,New,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,New,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,New,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,New,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,New,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,New,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,New,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,New,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,New,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,New,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,New,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,New,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,New,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Grocery,New,Discount,5%,Too low to drive behavior change in any segment.,5
Grocery,New,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Grocery,New,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Grocery,New,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Grocery,New,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Grocery,New,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Grocery,New,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Grocery,New,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Grocery,New,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Grocery,New,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Grocery,New,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Grocery,New,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Grocery,New,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Grocery,New,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Grocery,New,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Grocery,New,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Grocery,New,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Grocery,New,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Grocery,New,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Grocery,New,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,Loyalist,BOGO,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,Loyalist,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,Loyalist,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,Loyalist,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,Loyalist,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,Loyalist,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,Loyalist,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,Loyalist,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,Loyalist,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,Loyalist,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,Loyalist,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,Loyalist,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,Loyalist,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,Loyalist,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,Loyalist,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,Loyalist,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,Loyalist,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,Loyalist,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,Loyalist,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,Loyalist,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,Loyalist,Cashback,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,Loyalist,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,Loyalist,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,Loyalist,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,Loyalist,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,Loyalist,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,Loyalist,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,Loyalist,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,Loyalist,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,Loyalist,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,Loyalist,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,Loyalist,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,Loyalist,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,Loyalist,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,Loyalist,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,Loyalist,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,Loyalist,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,Loyalist,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,Loyalist,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,Loyalist,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,Loyalist,Discount,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,Loyalist,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,Loyalist,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,Loyalist,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,Loyalist,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,Loyalist,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,Loyalist,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,Loyalist,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,Loyalist,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,Loyalist,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,Loyalist,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,Loyalist,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,Loyalist,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,Loyalist,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,Loyalist,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,Loyalist,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,Loyalist,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,Loyalist,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,Loyalist,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,Loyalist,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,Lapsed,BOGO,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,Lapsed,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,Lapsed,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,Lapsed,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,Lapsed,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,Lapsed,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,Lapsed,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,Lapsed,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,Lapsed,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,Lapsed,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,Lapsed,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,Lapsed,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,Lapsed,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,Lapsed,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,Lapsed,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,Lapsed,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,Lapsed,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,Lapsed,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,Lapsed,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,Lapsed,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,Lapsed,Cashback,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,Lapsed,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,Lapsed,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,Lapsed,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,Lapsed,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,Lapsed,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,Lapsed,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,Lapsed,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,Lapsed,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,Lapsed,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,Lapsed,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,Lapsed,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,Lapsed,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,Lapsed,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,Lapsed,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,Lapsed,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,Lapsed,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,Lapsed,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,Lapsed,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,Lapsed,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,Lapsed,Discount,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,Lapsed,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,Lapsed,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,Lapsed,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,Lapsed,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,Lapsed,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,Lapsed,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,Lapsed,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,Lapsed,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,Lapsed,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,Lapsed,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,Lapsed,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,Lapsed,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,Lapsed,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,Lapsed,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,Lapsed,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,Lapsed,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,Lapsed,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,Lapsed,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,Lapsed,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,New,BOGO,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,New,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,New,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,New,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,New,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,New,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,New,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,New,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,New,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,New,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,New,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,New,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,New,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,New,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,New,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,New,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,New,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,New,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,New,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,New,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,New,Cashback,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,New,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,New,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,New,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,New,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,New,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,New,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,New,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,New,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,New,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,New,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,New,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,New,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,New,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,New,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,New,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,New,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,New,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,New,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,New,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Hot Coffee & Tea,New,Discount,5%,Too low to drive behavior change in any segment.,5
Hot Coffee & Tea,New,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Hot Coffee & Tea,New,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Hot Coffee & Tea,New,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Hot Coffee & Tea,New,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Hot Coffee & Tea,New,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Hot Coffee & Tea,New,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Hot Coffee & Tea,New,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Hot Coffee & Tea,New,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Hot Coffee & Tea,New,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Hot Coffee & Tea,New,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Hot Coffee & Tea,New,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Hot Coffee & Tea,New,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Hot Coffee & Tea,New,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Hot Coffee & Tea,New,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Hot Coffee & Tea,New,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Hot Coffee & Tea,New,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Hot Coffee & Tea,New,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Hot Coffee & Tea,New,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Hot Coffee & Tea,New,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Printing Services,Loyalist,BOGO,5%,Too low to drive behavior change in any segment.,5
Printing Services,Loyalist,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Printing Services,Loyalist,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Printing Services,Loyalist,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Printing Services,Loyalist,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Printing Services,Loyalist,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Printing Services,Loyalist,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Printing Services,Loyalist,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Printing Services,Loyalist,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Printing Services,Loyalist,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Printing Services,Loyalist,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Printing Services,Loyalist,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Printing Services,Loyalist,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Printing Services,Loyalist,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Printing Services,Loyalist,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Printing Services,Loyalist,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Printing Services,Loyalist,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Printing Services,Loyalist,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Printing Services,Loyalist,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Printing Services,Loyalist,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Printing Services,Loyalist,Cashback,5%,Too low to drive behavior change in any segment.,5
Printing Services,Loyalist,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Printing Services,Loyalist,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Printing Services,Loyalist,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Printing Services,Loyalist,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Printing Services,Loyalist,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Printing Services,Loyalist,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Printing Services,Loyalist,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Printing Services,Loyalist,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Printing Services,Loyalist,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Printing Services,Loyalist,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Printing Services,Loyalist,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Printing Services,Loyalist,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Printing Services,Loyalist,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Printing Services,Loyalist,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Printing Services,Loyalist,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Printing Services,Loyalist,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Printing Services,Loyalist,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Printing Services,Loyalist,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Printing Services,Loyalist,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
Printing Services,Loyalist,Discount,5%,Too low to drive behavior change in any segment.,5
Printing Services,Loyalist,Discount,10%,Insufficient to create meaningful impact in most contexts.,10
Printing Services,Loyalist,Discount,15%,Test this range in pilot to assess behavioral and financial response.,15
Printing Services,Loyalist,Discount,20%,Test this range in pilot to assess behavioral and financial response.,20
Printing Services,Loyalist,Discount,25%,Test this range in pilot to assess behavioral and financial response.,25
Printing Services,Loyalist,Discount,30%,Test this range in pilot to assess behavioral and financial response.,30
Printing Services,Loyalist,Discount,35%,Test this range in pilot to assess behavioral and financial response.,35
Printing Services,Loyalist,Discount,40%,Test this range in pilot to assess behavioral and financial response.,40
Printing Services,Loyalist,Discount,45%,Test this range in pilot to assess behavioral and financial response.,45
Printing Services,Loyalist,Discount,50%,Test this range in pilot to assess behavioral and financial response.,50
Printing Services,Loyalist,Discount,55%,Test this range in pilot to assess behavioral and financial response.,55
Printing Services,Loyalist,Discount,60%,Test this range in pilot to assess behavioral and financial response.,60
Printing Services,Loyalist,Discount,65%,Test this range in pilot to assess behavioral and financial response.,65
Printing Services,Loyalist,Discount,70%,Test this range in pilot to assess behavioral and financial response.,70
Printing Services,Loyalist,Discount,75%,Very high generosity – test with caution; high cost implications.,75
Printing Services,Loyalist,Discount,80%,Very high generosity – test with caution; high cost implications.,80
Printing Services,Loyalist,Discount,85%,Very high generosity – test with caution; high cost implications.,85
Printing Services,Loyalist,Discount,90%,Very high generosity – test with caution; high cost implications.,90
Printing Services,Loyalist,Discount,95%,Very high generosity – test with caution; high cost implications.,95
Printing Services,Loyalist,Discount,100%,Very high generosity – test with caution; high cost implications.,100
Printing Services,Lapsed,BOGO,5%,Too low to drive behavior change in any segment.,5
Printing Services,Lapsed,BOGO,10%,Insufficient to create meaningful impact in most contexts.,10
Printing Services,Lapsed,BOGO,15%,Test this range in pilot to assess behavioral and financial response.,15
Printing Services,Lapsed,BOGO,20%,Test this range in pilot to assess behavioral and financial response.,20
Printing Services,Lapsed,BOGO,25%,Test this range in pilot to assess behavioral and financial response.,25
Printing Services,Lapsed,BOGO,30%,Test this range in pilot to assess behavioral and financial response.,30
Printing Services,Lapsed,BOGO,35%,Test this range in pilot to assess behavioral and financial response.,35
Printing Services,Lapsed,BOGO,40%,Test this range in pilot to assess behavioral and financial response.,40
Printing Services,Lapsed,BOGO,45%,Test this range in pilot to assess behavioral and financial response.,45
Printing Services,Lapsed,BOGO,50%,Test this range in pilot to assess behavioral and financial response.,50
Printing Services,Lapsed,BOGO,55%,Test this range in pilot to assess behavioral and financial response.,55
Printing Services,Lapsed,BOGO,60%,Test this range in pilot to assess behavioral and financial response.,60
Printing Services,Lapsed,BOGO,65%,Test this range in pilot to assess behavioral and financial response.,65
Printing Services,Lapsed,BOGO,70%,Test this range in pilot to assess behavioral and financial response.,70
Printing Services,Lapsed,BOGO,75%,Very high generosity – test with caution; high cost implications.,75
Printing Services,Lapsed,BOGO,80%,Very high generosity – test with caution; high cost implications.,80
Printing Services,Lapsed,BOGO,85%,Very high generosity – test with caution; high cost implications.,85
Printing Services,Lapsed,BOGO,90%,Very high generosity – test with caution; high cost implications.,90
Printing Services,Lapsed,BOGO,95%,Very high generosity – test with caution; high cost implications.,95
Printing Services,Lapsed,BOGO,100%,Very high generosity – test with caution; high cost implications.,100
Printing Services,Lapsed,Cashback,5%,Too low to drive behavior change in any segment.,5
Printing Services,Lapsed,Cashback,10%,Insufficient to create meaningful impact in most contexts.,10
Printing Services,Lapsed,Cashback,15%,Test this range in pilot to assess behavioral and financial response.,15
Printing Services,Lapsed,Cashback,20%,Test this range in pilot to assess behavioral and financial response.,20
Printing Services,Lapsed,Cashback,25%,Test this range in pilot to assess behavioral and financial response.,25
Printing Services,Lapsed,Cashback,30%,Test this range in pilot to assess behavioral and financial response.,30
Printing Services,Lapsed,Cashback,35%,Test this range in pilot to assess behavioral and financial response.,35
Printing Services,Lapsed,Cashback,40%,Test this range in pilot to assess behavioral and financial response.,40
Printing Services,Lapsed,Cashback,45%,Test this range in pilot to assess behavioral and financial response.,45
Printing Services,Lapsed,Cashback,50%,Test this range in pilot to assess behavioral and financial response.,50
Printing Services,Lapsed,Cashback,55%,Test this range in pilot to assess behavioral and financial response.,55
Printing Services,Lapsed,Cashback,60%,Test this range in pilot to assess behavioral and financial response.,60
Printing Services,Lapsed,Cashback,65%,Test this range in pilot to assess behavioral and financial response.,65
Printing Services,Lapsed,Cashback,70%,Test this range in pilot to assess behavioral and financial response.,70
Printing Services,Lapsed,Cashback,75%,Very high generosity – test with caution; high cost implications.,75
Printing Services,Lapsed,Cashback,80%,Very high generosity – test with caution; high cost implications.,80
Printing Services,Lapsed,Cashback,85%,Very high generosity – test with caution; high cost implications.,85
Printing Services,Lapsed,Cashback,90%,Very high generosity – test with caution; high cost implications.,90
Printing Services,Lapsed,Cashback,95%,Very high generosity – test with caution; high cost implications.,95
Printing Services,Lapsed,Cashback,100%,Very high generosity – test with caution; high cost implications.,100
